Absolute magnitude,Albedo,Number of observations,Observation arc length,Orbital eccentricity,Orbital inclination,Orbital period,Asteroid diameter,Asteroid class
14.0,0.064,325,7015.0,0.0967883743625888,21.6370104618102,6.27736487407219,8.718,OMB
16.6,0.041,123,3787.0,0.139252304506482,14.38275819059092,4.39846947068005,3.463,MBA
12.7,0.067,410,6792.0,0.0984932413363857,3.645361977196209,12.0254101776697,13.46,TJN
13.4,0.268,2035,25467.0,0.1583089103424099,0.8747456530618959,3.33322661076311,4.967,MBA
14.8,0.367,616,9142.0,0.1883559882829274,12.9638809395911,4.30414263772815,2.76,MBA
15.1,0.044,294,6292.0,0.0361773428454839,11.19082401231076,5.78344316133278,6.333,OMB
15.4,0.057,257,6106.0,0.1266883545618966,8.421213924759124,6.352758621689,5.057,OMB
15.5,0.049,173,6305.0,0.2144542544975495,3.533182418810273,7.82608658433037,5.209,OMB
15.3,0.088,186,6195.0,0.188048160926905,10.47210196748345,5.77200945711567,4.087,OMB
15.6,0.23,781,7323.0,0.0777965561326812,10.277790583536,3.3645470336611,2.199,MBA
12.7,0.08,235,6868.0,0.0368777786008807,21.91760625761763,11.8357113598623,17.056,TJN
12.5,0.107,2088,23948.0,0.1486708298504134,0.1931118275319282,5.75359209319286,14.064,OMB
13.1,0.04,194,8757.0,0.0237335211569471,15.41338063243876,12.1690983906702,15.154,TJN
9.1,0.053,1659,20786.0,0.0438747582921721,16.26314042695682,11.89223429722,87.646,TJN
13.1,0.083,1502,15002.0,0.0753207254887152,21.97848825927846,5.76735218992022,12.679,OMB
14.0,0.17,1117,9776.0,0.1305458800734063,13.2476583193699,5.74109936211324,4.874,OMB
16.8,0.059,281,7116.0,0.1446283385930979,11.78704715926301,3.64279962307115,2.624,MBA
16.3,0.026,142,8423.0,0.1042135220531941,3.42296177699924,5.74437232504937,4.356,OMB
15.2,0.054,228,6703.0,0.0637693079085351,8.851386008526623,5.64405149024628,5.729,MBA
14.4,0.266,1200,10365.0,0.1656728096852356,10.18039103448236,4.5537096663917,3.726,MBA
12.9,0.076,258,7563.0,0.1034370639718647,15.91425424454746,12.0327762076264,15.232,TJN
16.9,0.031,94,5716.0,0.0731836339683926,9.412873789978658,4.37538890193242,2.387,MBA
12.9,0.075,192,6378.0,0.0958503345842879,11.10219632994031,11.9813764547036,14.68,TJN
15.0,0.102,300,6690.0,0.0364737654944556,21.20710850790027,5.82418542537626,4.782,OMB
12.6,0.147,352,6786.0,0.1058534756738164,14.30740760331038,11.8882725484668,10.47,TJN
16.4,0.071,230,6794.0,0.2029235281103103,2.875803889317324,5.11908203176215,2.871,MBA
13.6,0.078,841,9562.0,0.1150527785482639,9.033118294946483,6.29079322386725,9.496,OMB
16.9,0.078,18,2342.0,0.0820629022841177,15.24286797941782,5.44404564338719,3.15,MBA
13.8,0.033,89,6785.0,0.063969850127431,22.57308168852083,11.6688179887875,10.59,TJN
16.4,0.041,108,4847.0,0.2394495478318805,10.26290610554906,5.57088217888085,3.624,MBA
14.9,0.197,452,8556.0,0.0209695634539393,10.32827316137111,5.35161778593349,3.439,MBA
16.0,0.04,45,2262.0,0.0678135166190381,10.76025228746447,6.26229927378333,4.009,OMB
14.6,0.252,911,8367.0,0.1578561083038756,10.22825769662511,4.5575854681557,3.487,MBA
12.5,0.061,352,8866.0,0.0691654558643538,24.3923739211925,11.8210137914941,17.845,TJN
17.0,0.055,123,5259.0,0.206853133872232,11.0693004246266,4.43184586324423,2.261,MBA
14.9,0.031,250,6239.0,0.2664158547326926,21.14908356104729,5.76819951605565,6.883,OMB
14.5,0.049,66,6776.0,0.1575584149741552,3.652470964659564,11.8765998211409,6.022,TJN
13.9,0.064,15,105.0,0.0910846748947485,28.71249881271956,11.7035815196553,8.741,TJN
13.2,0.046,138,5552.0,0.0324127956471064,13.51833898796015,12.1136352494032,15.558,TJN
13.2,0.05,146,5648.0,0.0468835474559806,32.66967057248353,12.1246526234525,12.986,TJN
12.4,0.3,2023,13529.0,0.1448131840088094,14.12951510190988,4.20987509143632,7.49,MBA
14.8,0.056,380,6170.0,0.0926092551724062,17.63190534255457,5.80498667886219,6.465,OMB
12.7,0.098,283,8404.0,0.1024931940577795,6.261025185835788,11.6571207530376,11.676,TJN
15.3,0.041,188,6503.0,0.058693447032563,10.559387221166,6.66464397415069,5.958,OMB
14.9,0.069,461,8026.0,0.0488643048983832,5.258938201477918,5.66106351379918,5.563,MBA
13.0,0.199,1858,23634.0,0.2623805520066749,12.23394540243387,4.17407295996161,7.828,MBA
12.8,0.067,166,7206.0,0.0515002719293969,22.06272435635347,12.2365417788945,14.112,TJN
14.0,0.191,572,7535.0,0.1553238453227666,16.67233527869146,5.73582267318975,4.2,OMB
11.4,0.206,1732,17189.0,0.1272315645537521,5.766293316288277,7.94731967951776,16.074,OMB
11.5,0.097,980,10396.0,0.0341642802231619,13.24147256805273,11.9978214261928,23.483,TJN
15.0,0.054,16,6.0,0.0177257027627081,14.24456267178214,5.98600711640164,5.714,OMB
13.4,0.037,220,5610.0,0.0783533060492356,4.592071318930754,11.8594987380629,14.362,TJN
13.7,0.056,1718,12621.0,0.2163652588086978,4.794559961602971,4.68190744977365,11.716,MBA
15.2,0.064,981,8975.0,0.2414272393677281,1.814262781490163,4.39566373573982,4.783,MBA
13.1,0.232,2459,26090.0,0.181430790027791,7.306225614254721,3.34987195919959,6.973,MBA
16.4,0.064,191,7177.0,0.1209662864704632,7.39217144914604,4.30295746166929,3.033,MBA
15.9,0.035,217,5323.0,0.2094884042455433,9.298700448123276,5.56551321438336,4.465,MBA
14.5,0.088,662,6831.0,0.2727688064112448,12.51465606030116,5.72858067597167,6.484,OMB
12.9,0.057,167,6782.0,0.0826873514364673,17.99756331930853,11.7535061438314,14.706,TJN
15.1,0.083,386,7062.0,0.1244652366560091,2.167013653295213,5.77561578521093,4.84,OMB
14.9,0.094,166,5517.0,0.325528577625558,8.887448193394938,7.87197158884064,5.208,OMB
15.8,0.037,154,3995.0,0.0652216803321022,14.52677390813633,5.81720052657006,4.592,OMB
17.1,0.057,149,6560.0,0.2122530220605764,10.62918059447038,4.53004273984282,2.214,MBA
15.1,0.073,173,5707.0,0.1440146599435989,26.10221289589953,5.72446643430486,5.664,OMB
11.6,0.076,871,10372.0,0.0419257908683792,17.35107720673806,11.79298050981,25.338,TJN
10.4,0.036,2193,39870.0,0.108989706075239,5.365032627983505,4.69646237172986,60.862,MBA
15.4,0.042,251,6333.0,0.1805293126166873,16.07705215680412,5.51798554690937,5.417,MBA
15.5,0.144,128,4509.0,0.2863941850249543,23.66690448404301,5.81234666915888,3.669,OMB
15.3,0.25,1161,10150.0,0.1590252096048365,2.464151802276123,3.72613720168802,2.538,MBA
15.3,0.206,708,10050.0,0.0546666363560329,13.64449356945172,4.22799697382638,2.55,MBA
13.2,0.047,159,6373.0,0.0669685615139169,8.44409671731684,12.1427578541169,14.642,TJN
12.1,0.065,534,6472.0,0.028718364236898,22.81358548961746,11.5805926185938,22.747,TJN
16.1,0.062,63,4986.0,0.02993224182812,15.41000908820864,5.40875000831274,3.524,MBA
13.2,0.054,187,7141.0,0.0936944454312763,21.41888487298259,12.2492105003002,12.484,TJN
12.6,0.249,1500,31306.0,0.1540781677182533,12.91551660146622,3.83120754789501,7.535,MBA
14.4,0.065,242,5880.0,0.1821855408618974,8.44452633202734,7.89964717106635,7.878,OMB
10.89,0.153,2560,37365.0,0.113683118024073,11.36013841465938,5.22108106388876,22.42,MBA
13.4,0.051,261,8408.0,0.0834818050878544,19.24348890446908,11.8958793939593,11.18,TJN
10.9,0.077,954,10431.0,0.0832743601024252,23.95897509776589,11.9494964860063,33.067,TJN
13.5,0.189,825,9279.0,0.0623990286905113,16.18510159414186,5.81450304734232,7.007,OMB
12.2,0.082,480,7645.0,0.0310987498532538,28.10450736458093,11.6623262191709,17.679,TJN
10.5,0.065,1830,10378.0,0.0629653539372021,13.70891839326913,12.0860182568194,41.561,TJN
12.7,0.107,290,6402.0,0.0746925405751455,5.553369300966255,12.1235553346363,12.272,TJN
11.6,0.14,899,10733.0,0.0730838253290402,15.23187052175945,12.1527004833146,21.386,TJN
14.7,0.072,531,7104.0,0.1552340882807159,6.359432442682281,5.73490292433827,6.521,OMB
15.1,0.221,859,7295.0,0.055779082797333,15.20058883877924,4.03446966869462,2.829,MBA
15.5,0.054,10,1.0,0.2971189363144341,29.99650866008248,5.78408417739186,4.53,OMB
14.5,0.049,766,10139.0,0.1560942858454757,1.041523124442132,5.7609711767733,6.921,OMB
14.5,0.065,553,7176.0,0.0681135111498008,21.65010178541106,5.75977200209979,7.2,OMB
15.0,0.073,197,6225.0,0.2182597613277776,25.46047636600389,5.73145299371406,6.478,OMB
14.3,0.029,1317,12886.0,0.1902685222596482,3.712742815500438,4.38418933450653,7.084,MBA
14.7,0.082,1538,10094.0,0.1572914255790711,6.126361009063416,4.32773439429512,5.59,MBA
16.0,0.12,104,4428.0,0.0714831827147454,9.655208377812148,5.74957813982392,4.403,OMB
13.0,0.061,329,8418.0,0.1244488540469088,4.424546902326945,11.9849585397605,14.188,TJN
12.8,0.109,149,8760.0,0.0716281106598656,12.95325445168397,11.8687014895059,11.097,TJN
